Category,Name,RSS URL
Economic,Bank of Japan,https://www.boj.or.jp/en/rss/whatsnew.xml
Economic,Bureau of Labor Statistics,https://www.bls.gov/feed/news_release/rss.xml
Economic,Bureau of Economic Analysis,https://www.bea.gov/rss/news_releases.xml
Economic,OECD,https://www.oecd.org/rss/generalrss.xml
Economic,World Bank,https://www.worldbank.org/en/news/rss
Economic,IMF News,https://www.imf.org/en/news/rss
Economic,Reserve Bank of Australia,https://www.rba.gov.au/rss/rss-cb-media-releases.xml
Economic,Bank of Canada,https://www.bankofcanada.ca/feeds/media-releases/
Economic,Swiss National Bank,https://www.snb.ch/en/rss/
Economic,People's Bank of China,http://www.pbc.gov.cn/en/3688110/index.rss

Commodities,Kitco Gold News,https://www.kitco.com/rss/GoldSilverNews.xml
Commodities,Oil Price,https://oilprice.com/rss/main
Commodities,Investing.com Commodities,https://www.investing.com/rss/news_285.rss
Commodities,Platts,https://www.spglobal.com/commodity-insights/en/rss-feeds
Commodities,Metal Bulletin,https://www.metalbulletin.com/rss/
Commodities,AgWeb,https://www.agweb.com/rss/news
Commodities,Successful Farming,https://www.agriculture.com/rss/news
Commodities,Farm Progress,https://www.farmprogress.com/rss/news
Commodities,Mining.com,https://www.mining.com/feed/
Commodities,Natural Gas Intelligence,https://www.naturalgasintel.com/feed/
Commodities,Energy Information Administration,https://www.eia.gov/rss/todayinenergy.xml
Commodities,London Metal Exchange,https://www.lme.com/News/rss

Options,CBOE,https://www.cboe.com/rss/
Options,OptionAlpha,https://optionalpha.com/feed
Options,Tastytrade,https://www.tastytrade.com/definitions/rss
Options,Options Industry Council,https://www.optionseducation.org/rss/
Options,NASDAQ Options,https://www.nasdaq.com/feed/options
Options,OIC Education,https://www.optionseducation.org/feed/
Options,Option Pit,https://www.optionpit.com/feed/
Options,Options Action,https://www.cnbc.com/options-action/

Stocks,Benzinga,https://www.benzinga.com/feed
Stocks,Zacks,https://www.zacks.com/rss/articles.xml
Stocks,TheStreet,https://www.thestreet.com/rss/latest-news
Stocks,StockNews,https://stocknews.com/feed/
Stocks,GuruFocus,https://www.gurufocus.com/rss.php
Stocks,Simply Wall St,https://simplywall.st/rss/
Stocks,TipRanks,https://www.tipranks.com/rss/
Stocks,Finviz,https://finviz.com/news.ashx?v=rss
Stocks,Alpha Architect,https://alphaarchitect.com/feed/
Stocks,Validea,https://www.validea.com/feed/
Stocks,Dividend.com,https://www.dividend.com/rss/
Stocks,Dividend Growth Investor,https://www.dividendgrowthinvestor.com/feeds/posts/default

Alternative,Hedge Fund News,https://www.hedgefundnews.com/feed/
Alternative,Private Equity News,https://www.penews.com/rss/
Alternative,REITs,https://www.reit.com/news/rss
Alternative,Institutional Investor,https://www.institutionalinvestor.com/rss/
Alternative,Pension & Investments,https://www.pionline.com/rss/all-news

Technical,StockCharts,https://stockcharts.com/articles/rss.xml
Technical,ElliottWaveTrader,https://www.elliottwave.com/rss/
Technical,ChartWatchers,https://stockcharts.com/articles/chartwatchers/rss.xml
Technical,Market Technicians Association,https://www.mta.org/feed/
